Year,Ethnic Group,# Male,# Female,Total,% Elder
1957,Malays,103249,93810,197059,0.014224166366418179
,Chinese,555663,534933,1090596,0.02408591265693254
,Indians,85988,38096,124084,0.008365300925179717
,Others,17860,16330,34190,0.027844398947060544
1958,Malays,108300,98900,207200,0.01447876447876448
,Chinese,580800,555000,1135800,0.02518048952280331
,Indians,88700,42100,130800,0.008409785932721712
,Others,14300,14100,28400,0.035211267605633804
1959,Malays,114400,104500,218900,0.013248058474189127
,Chinese,607700,582200,1189900,0.02571644676023195
,Indians,87700,43600,131300,0.00913937547600914
,Others,14700,14500,29200,0.03424657534246575
1960,Malays,120200,110200,230400,0.013020833333333334
,Chinese,630900,604500,1235400,0.026226323457989316
,Indians,87700,45100,132800,0.009036144578313253
,Others,14300,14400,28700,0.0313588850174216
1961,Malays,124800,115900,240700,0.012463647694225177
,Chinese,652300,625900,1278200,0.026208731028008136
,Indians,88400,46800,135200,0.008875739644970414
,Others,14100,14400,28500,0.03859649122807018
1962,Malays,128500,119900,248400,0.014090177133655395
,Chinese,671100,644000,1315100,0.02676602539730819
,Indians,88600,47900,136500,0.01098901098901099
,Others,14400,14700,29100,0.041237113402061855
1963,Malays,131200,124200,255400,0.014095536413469069
,Chinese,687900,662300,1350200,0.027773663161013182
,Indians,87400,49300,136700,0.011704462326261888
,Others,15000,15500,30500,0.036065573770491806
1964,Malays,135900,129300,265200,0.013951734539969835
,Chinese,705900,679300,1385200,0.02829916257580133
,Indians,86900,50800,137700,0.012345679012345678
,Others,14900,15200,30100,0.036544850498338874
1965,Malays,140600,134700,275300,0.013803123864874683
,Chinese,722900,695800,1418700,0.02882920983999436
,Indians,87400,52300,139700,0.015032211882605583
,Others,14700,14600,29300,0.03754266211604096
1966,Malays,145800,140200,286000,0.013636363636363636
,Chinese,739300,711800,1451100,0.030321824822548412
,Indians,86600,53800,140400,0.01638176638176638
,Others,15200,15900,31100,0.03858520900321544
1967,Malays,149300,144100,293400,0.015337423312883436
,Chinese,755200,726700,1481900,0.03090626897901343
,Indians,86600,55100,141700,0.02117148906139732
,Others,17200,16700,33900,0.038348082595870206
1968,Malays,151700,146700,298400,0.014075067024128687
,Chinese,766900,740800,1507700,0.03243350799230616
,Indians,87400,56100,143500,0.021602787456445994
,Others,18300,16500,34800,0.04310344827586207
1969,Malays,154700,149200,303900,0.014478446857518921
,Chinese,777100,753100,1530200,0.033525029407920535
,Indians,87100,56900,144000,0.022916666666666665
,Others,18200,17500,35700,0.04201680672268908
1970,Malays,151562,145884,297446,0.017263637769544725
,Chinese,780603,764944,1545547,0.038512578394574865
,Indians,85000,55767,140767,0.016623214247657475
,Others,11701,11342,23043,0.049776504795382544
1971,Malays,159800,153700,313500,0.01690590111642743
,Chinese,798500,778100,1576600,0.040847393124445006
,Indians,86700,58400,145100,0.01791867677463818
,Others,19900,18500,38400,0.036458333333333336
1972,Malays,162600,155600,318200,0.017913262099308613
,Chinese,813900,792200,1606100,0.04296121038540564
,Indians,86600,59400,146000,0.019178082191780823
,Others,20600,19100,39700,0.03526448362720403
1973,Malays,165300,157500,322800,0.019206939281288724
,Chinese,829300,807400,1636700,0.044357548726095195
,Indians,86500,60400,146900,0.02110279101429544
,Others,21300,19600,40900,0.034229828850855744
1974,Malays,167600,158900,326500,0.02113323124042879
,Chinese,843300,821400,1664700,0.04613443863759236
,Indians,86500,61300,147800,0.023004059539918808
,Others,21900,20300,42200,0.037914691943127965
1975,Malays,169900,160600,330500,0.021482602118003027
,Chinese,856000,833500,1689500,0.04717372003551346
,Indians,86600,62100,148700,0.022864828513786146
,Others,22800,21000,43800,0.02968036529680365
1976,Malays,171700,162000,333700,0.022774947557686546
,Chinese,867600,844900,1712500,0.04893430656934306
,Indians,86500,62800,149300,0.02679169457468185
,Others,23400,21700,45100,0.031042128603104215
1977,Malays,173600,163400,337000,0.02314540059347181
,Chinese,879900,856900,1736800,0.050667894979272224
,Indians,86600,63500,150100,0.02664890073284477
,Others,24200,22400,46600,0.027896995708154508
1978,Malays,175400,164600,340000,0.024705882352941175
,Chinese,890300,866900,1757200,0.05212838606874573
,Indians,86500,64200,150700,0.029197080291970802
,Others,24800,22900,47700,0.031446540880503145
1979,Malays,177200,165900,343100,0.025939959195569805
,Chinese,901500,877500,1779000,0.05328836424957842
,Indians,86400,65000,151400,0.03038309114927345
,Others,25500,23600,49100,0.03054989816700611
1980,Malays,167273,161445,328718,0.027047499680577274
,Chinese,900259,887557,1787816,0.0543238230332428
,Indians,80435,62969,143404,0.03177038297397562
,Others,11044,11143,22187,0.06152251318339568
1981,Malays,168415,162707,331122,0.02757291874294067
,Chinese,905546,885411,1790957,0.05622692225441482
,Indians,82077,65336,147413,0.032839708845217176
,Others,11134,11203,22337,0.06303442718359673
1982,Malays,170676,164930,335603,0.02887638072365265
,Chinese,920339,899933,1820272,0.057256827551047315
,Indians,84310,67872,152177,0.03469643901509427
,Others,11401,11559,22959,0.06328672851605036
1983,Malays,173075,167108,340184,0.031053782658796415
,Chinese,934434,913843,1848276,0.05821100311858186
,Indians,86569,70343,156910,0.03670256835128417
,Others,11683,11956,23641,0.0641258829998731
1984,Malays,175445,169262,344709,0.032923422364951306
,Chinese,947187,926388,1873573,0.05922800979732308
,Indians,88730,72737,161472,0.038885998810939355
,Others,11940,12343,24282,0.06692199983526892
1985,Malays,178025,171695,349717,0.03454793447273081
,Chinese,960201,938989,1899186,0.06048328073185038
,Indians,90896,75141,166032,0.042118386816999136
,Others,12238,12775,25010,0.06845261895241904
1986,Malays,180755,174095,354848,0.035851970421138066
,Chinese,971686,950162,1921851,0.06176129158816162
,Indians,92949,77311,170261,0.04480180428870969
,Others,12494,13091,25585,0.07043189368770764
1987,Malays,183193,176431,359624,0.038248281538495764
,Chinese,982964,960952,1943916,0.06309840548665684
,Indians,95039,79409,174446,0.048186831455006136
,Others,12742,13317,26056,0.07338041142155358
1988,Malays,186184,179024,365209,0.040724626172958495
,Chinese,998769,975773,1974539,0.06412787997603492
,Indians,97097,81745,178841,0.05125782119312686
,Others,12966,13585,26549,0.0762363930844853
1989,Malays,189505,182020,371524,0.0421022598809229
,Chinese,1016598,992896,2009495,0.06488794448356427
,Indians,99219,84044,183267,0.05398134961558818
,Others,13193,13895,27089,0.07844512532762375
1990,Malays,195950,188388,384338,0.04286851677429762
,Chinese,1071055,1056817,2127872,0.06336800333854668
,Indians,104996,89052,194048,0.05614074868073879
,Others,14290,15320,29610,0.0756838905775076
1991,Malays,199843,192558,392397,0.04384844940200868
,Chinese,1092546,1079755,2172301,0.06369237044037636
,Indians,106931,91852,198781,0.058491505727408556
,Others,14993,16237,31231,0.07482949633377094
1992,Malays,203458,196837,400290,0.04564940418196807
,Chinese,1111145,1101855,2213002,0.06445769140741853
,Indians,108871,94781,203649,0.06119843456142677
,Others,15592,17223,32815,0.07539235105896694
1993,Malays,207143,200945,408086,0.04732580877560122
,Chinese,1130006,1123581,2253588,0.06542367105256151
,Indians,110939,97613,208550,0.06385039558858786
,Others,16140,18188,34330,0.07614331488494029
1994,Malays,210858,205130,415989,0.04864311315924219
,Chinese,1148072,1145128,2293202,0.06652314100545874
,Indians,113502,100770,214278,0.06611971364302448
,Others,16745,19141,35884,0.07641288596589009
1995,Malays,214153,209113,423261,0.049695105384148314
,Chinese,1166325,1166562,2332883,0.06753189079778112
,Indians,116305,103968,220272,0.06911908912617128
,Others,17250,19874,37117,0.07735000134709163
1996,Malays,217365,212710,430075,0.04987734697436494
,Chinese,1184860,1186946,2371806,0.06847229495161071
,Indians,119893,107853,227745,0.07048233770225472
,Others,17900,20608,38505,0.07809375405791456
1997,Malays,220420,216240,436659,0.05046729828080951
,Chinese,1202345,1207761,2410109,0.06953005030062956
,Indians,124215,112217,236431,0.0717291725704328
,Others,18775,21435,40207,0.0786678936503594
1998,Malays,223404,219946,443350,0.051460471410849216
,Chinese,1219890,1228796,2448688,0.0707779022888992
,Indians,128828,116947,245774,0.0723917094566553
,Others,19694,22515,42208,0.0782079226686884
1999,Malays,226305,223178,449480,0.05310581115956216
,Chinese,1235329,1247314,2482641,0.07237051188633395
,Indians,132412,120894,253304,0.0729755550642706
,Others,20761,23494,44258,0.07763568168466718
2000,Malays,228850,226357,455207,0.055420940363395114
,Chinese,1249662,1264185,2513847,0.07453476683346281
,Indians,134337,123529,257866,0.07414315962554195
,Others,21818,24625,46443,0.07708373705402322
2001,Malays,231970,229818,461788,0.056357029632645286
,Chinese,1267019,1285058,2552077,0.07616737269290856
,Indians,136485,126483,262968,0.07409646801131696
,Others,23084,25985,49069,0.07630071939513745
2002,Malays,235076,233284,468360,0.05676616278076693
,Chinese,1283362,1306163,2589525,0.07753313831687278
,Indians,140768,131155,271923,0.07267498519801562
,Others,25089,28047,53136,0.07341538693164709
2003,Malays,235597,234194,469791,0.0554203890666275
,Chinese,1273256,1299351,2572607,0.07887446469670649
,Indians,138642,131257,269899,0.060641202820314266
,Others,25906,28688,54594,0.060849177565300214
2004,Malays,238236,237453,475689,0.05734418916561031
,Chinese,1285557,1314256,2599813,0.08331560769947685
,Indians,142754,135352,278106,0.0617318576370161
,Others,28484,31174,59658,0.0585001173354789
2005,Malays,240406,240316,480722,0.058643041092356914
,Chinese,1297849,1328874,2626723,0.0875200772978346
,Indians,149621,141510,291131,0.061858750871600754
,Others,33263,35975,69238,0.052023455327999076
2006,Malays,242759,243219,485978,0.059665252336525525
,Chinese,1310873,1345485,2656358,0.09155467749452446
,Indians,155938,147158,303096,0.06181209913690712
,Others,38672,41790,80462,0.04714026496979941
2007,Malays,244969,245583,490552,0.059861136026353984
,Chinese,1324715,1362282,2686997,0.09416906680580589
,Indians,161484,151911,313395,0.0614655626286316
,Others,44309,47829,92138,0.04260999804640865
2008,Malays,247017,248093,495110,0.06006544000323161
,Chinese,1339596,1382183,2721779,0.09638916311721121
,Indians,167149,156282,323431,0.060590976127829425
,Others,49230,53109,102339,0.04010201389499604
2009,Malays,249115,250936,500051,0.06119575803268067
,Chinese,1360224,1410079,2770303,0.09925051519635217
,Indians,178129,165380,343509,0.05905813239245551
,Others,57264,62749,120013,0.03574612750285386
2010,Malays,250885,252983,503868,0.061401001849690794
,Chinese,1370083,1423897,2793980,0.10135541414040186
,Indians,180327,167792,348119,0.05689433785573324
,Others,59838,65916,125754,0.03545016460709003
2011,Malays,252227,254410,506637,0.06245694649226172
,Chinese,1375665,1432589,2808254,0.10537045438197543
,Indians,180548,168488,349036,0.05852691412920157
,Others,59730,65594,125324,0.03723947528007405
2012,Malays,253578,255941,509519,0.06660791844857601
,Chinese,1385606,1446378,2831984,0.11216730038022814
,Indians,180948,170077,351025,0.06258243714835125
,Others,59914,65763,125677,0.0403733380013845
2013,Malays,255176,257661,512837,0.07029524000803374
,Chinese,1395183,1458568,2853751,0.11890981378543539
,Indians,180889,170778,351667,0.06691273278413955
,Others,60256,66240,126496,0.04361402732102201
2014,Malays,257036,259621,516657,0.07399493280842029
,Chinese,1403927,1470453,2874380,0.12605605382726015
,Indians,181359,171662,353021,0.07117706878627617
,Others,60088,66593,126681,0.04666050946866539
2015,Malays,259108,261815,520923,0.07794050176321644
,Chinese,1415303,1484704,2900007,0.13306485122277292
,Indians,182304,172648,354952,0.0760807095043837
,Others,59913,66895,126808,0.04905053308939499
2016,Malays,261564,264324,525888,0.0816219423147134
,Chinese,1425244,1497928,2923172,0.14006770727141613
,Indians,182935,173941,356876,0.080285589392394
,Others,59783,67840,127623,0.05133870853999671
2017,Malays,263912,266798,530710,0.08597162292023892
,Chinese,1436284,1511968,2948252,0.14714820849778107
,Indians,183818,175003,358821,0.08447387416009654
,Others,59531,68482,128013,0.05409606836805637
2018,Malays,266486,269338,535824,0.09096457045597062
,Chinese,1445375,1523906,2969281,0.15479403936508535
,Indians,184496,176032,360528,0.08910264944747703
,Others,59481,69169,128650,0.05722502914885348
